FrameNum CenterX(mm) CenterY(mm) Areas
1019 165.44 178.37 Floor
1020 165.13 178.31 Floor
1021 164.90 178.19 Floor
1022 164.64 178.10 Floor
1023 164.34 178.05 Floor
1024 164.11 177.96 Floor
1025 163.88 177.89 Floor
1026 163.75 177.85 Floor
1027 163.73 177.79 Floor
1028 163.62 177.80 Floor
1029 163.58 177.84 Floor
1030 163.35 177.86 Floor
1031 163.14 177.88 Floor
1032 162.82 177.92 Floor
1033 162.35 177.91 Floor
1034 161.87 177.83 Floor
1035 161.27 177.69 Floor
1036 160.67 177.55 Floor
1037 159.98 177.41 Floor
1038 159.10 177.25 Floor
1039 158.23 177.15 Floor
1040 157.42 177.12 Floor
1041 156.87 177.21 Floor
1042 156.45 177.45 Floor
1043 156.15 177.76 Floor
