FrameNum CenterX(mm) CenterY(mm) Areas
1044 243.31 181.16 Floor
1045 243.05 180.92 Floor
1046 242.78 180.74 Floor
1047 242.53 180.65 Floor
1048 242.29 180.63 Floor
1049 242.10 180.70 Floor
1050 242.00 180.79 Floor
1051 241.89 180.89 Floor
1052 241.85 180.94 Floor
1053 241.82 180.90 Floor
1054 241.79 180.84 Floor
1055 241.71 180.76 Floor
1056 241.63 180.71 Floor
1057 241.56 180.69 Floor
1058 241.45 180.69 Floor
1059 241.40 180.74 Floor
1060 241.35 180.78 Floor
1061 241.27 180.83 Floor
1062 241.25 180.83 Floor
1063 241.22 180.80 Floor
1064 241.21 180.77 Floor
1065 241.23 180.67 Floor
1066 241.23 180.63 Floor
1067 241.23 180.58 Floor
1068 241.23 180.54 Floor
1069 241.23 180.52 Floor
1070 241.23 180.47 Floor
1071 241.23 180.40 Floor
1072 241.23 180.37 Floor
1073 241.26 180.38 Floor
1074 241.25 180.42 Floor
1075 241.25 180.45 Floor
1076 241.18 180.52 Floor
1077 241.10 180.57 Floor
1078 241.03 180.64 Floor
1079 240.99 180.66 Floor
1080 240.92 180.64 Floor
1081 240.87 180.60 Floor
1082 240.86 180.52 Floor
1083 240.91 180.44 Floor
1084 240.92 180.35 Floor
1085 240.93 180.31 Floor
1086 240.85 180.33 Floor
1087 240.82 180.36 Floor
1088 240.81 180.42 Floor
1089 240.85 180.42 Floor
1090 240.81 180.47 Floor
1091 240.82 180.48 Floor
1092 240.83 180.46 Floor
1093 240.84 180.48 Floor
1094 240.91 180.47 Floor
1095 241.06 180.47 Floor
1096 241.22 180.47 Floor
1097 241.33 180.49 Floor
1098 241.37 180.55 Floor
1099 241.35 180.58 Floor
1100 241.23 180.65 Floor
1101 241.08 180.66 Floor
1102 240.83 180.72 Floor
1103 240.66 180.75 Floor
1104 240.69 180.68 Floor
1105 240.82 180.57 Floor
1106 240.91 180.50 Floor
1107 240.91 180.53 Floor
1108 240.86 180.57 Floor
1109 240.79 180.61 Floor
1110 240.70 180.67 Floor
1111 240.57 180.73 Floor
1112 240.40 180.85 Floor
1113 240.32 180.92 Floor
1114 240.33 180.90 Floor
1115 240.32 180.91 Floor
